[2025-03-17T20:16:59.329Z] GET /api/patients/
[2025-03-17T20:18:51.326Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:21:32.027Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:21:38.013Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:21:47.802Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:21:59.004Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:22:09.941Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:22:21.964Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:22:33.396Z] PUT /api/patients/treat/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:22:39.443Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:03.138Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:03.782Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:04.050Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:04.271Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:08.499Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:18.391Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:24.650Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:25.798Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:26.797Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:28.149Z] DELETE /api/patients/discharge/4 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:39.718Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:43.861Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:44.731Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:45.310Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:45.871Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:46.274Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:46.486Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:46.691Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:23:53.917Z] DELETE /api/patients/discharge/1 | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:24:01.422Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:10.009Z] GET /api/patients/ | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:16.686Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:23.819Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:23.877Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
[2025-03-17T20:31:29.051Z] POST /api/patients/add | IP: ::ffff:127.0.0.1 | Platform: win32 | Port: 8000
